1     22001.9	1.0001
2     18838.3	1.0002
3     18171.4	1.0003
4     15993.7	1.0004
5     15019.2	1.0005
6     14625.3	1.0006
7     13296.6	1.0007
8     12670.9	1.0008
9     12201.5	1.0009
10     11588.3	1.001
11     11210.7	1.0011
12     10615.7	1.0012
13     10214.7	1.0013
14     10136.2	1.0014
15     9682.27	1.0015
16     9434.68	1.0016
17     9256.08	1.0017
18     8850.44	1.0018
19     8672.92	1.0019
20     8509.17	1.002
21      8121.2	1.0021
22     8032.06	1.0022
23     7853.44	1.0023
24     7755.79	1.0024
25     7368.85	1.0025
26     7309.57	1.0026
27     6852.46	1.0027
28     6834.93	1.0028
29     6810.34	1.0029
30     6790.08	1.003
31     6733.57	1.0031
32     6636.78	1.0032
33     6634.08	1.00331
34      6617.2	1.00341
35     6558.88	1.00351
36     6444.52	1.00361
37     6444.52	1.00371
38     6336.83	1.00381
39     6210.67	1.00391
40     6189.46	1.00401
41     6134.37	1.00411
42     6053.17	1.00421
43     6009.64	1.00431
44     6009.64	1.00441
45     5971.09	1.00451
46     5971.09	1.00461
47     5861.95	1.00471
48     5861.95	1.00481
49     5861.95	1.00491
50     5851.52	1.00501
51     5851.52	1.00511
52     5836.99	1.00521
53     5755.69	1.00531
54     5716.16	1.00541
55     5716.16	1.00551
56     5716.16	1.00562
57     5716.16	1.00572
58     5716.16	1.00582
59     5716.16	1.00592
60     5661.82	1.00602
61      5653.2	1.00612
62      5653.2	1.00622
63     5638.51	1.00632
64     5624.74	1.00642
65        5623	1.00652
66     5598.83	1.00662
67      5576.8	1.00672
68      5576.8	1.00682
69      5576.8	1.00692
70      5576.8	1.00702
71     5568.41	1.00712
72     5554.06	1.00723
73     5554.06	1.00733
74     5547.51	1.00743
75     5547.51	1.00753
76     5514.52	1.00763
77     5504.07	1.00773
78      5500.3	1.00783
79      5500.3	1.00793
80      5500.3	1.00803
81      5500.3	1.00813
82      5500.3	1.00823
83      5484.1	1.00833
84      5484.1	1.00843
85     5483.79	1.00854
86     5469.08	1.00864
87     5469.08	1.00874
88     5440.79	1.00884
89     5409.77	1.00894
90     5409.77	1.00904
91     5390.18	1.00914
92     5375.95	1.00924
93     5375.95	1.00934
94     5375.95	1.00944
95     5375.95	1.00954
96     5375.95	1.00965
97      5369.1	1.00975
98      5369.1	1.00985
99      5369.1	1.00995
100      5369.1	1.01005
101     5349.72	1.01015
102     5349.72	1.01025
103     5349.72	1.01035
104     5322.76	1.01045
105     5302.19	1.01055
106     5302.19	1.01066
107     5302.19	1.01076
108     5302.19	1.01086
109     5302.19	1.01096
110     5302.09	1.01106
111     5301.15	1.01116
112     5301.15	1.01126
113     5273.13	1.01136
114     5273.13	1.01146
115     5273.13	1.01157
116     5273.13	1.01167
117     5273.13	1.01177
118     5273.13	1.01187
119     5273.13	1.01197
120     5270.55	1.01207
121     5270.55	1.01217
122     5270.55	1.01227
123     5270.55	1.01238
124     5270.55	1.01248
125     5270.55	1.01258
126     5270.55	1.01268
127     5259.09	1.01278
128     5259.09	1.01288
129     5259.09	1.01298
130     5259.09	1.01308
131     5259.09	1.01319
132     5259.09	1.01329
133     5259.09	1.01339
134     5259.09	1.01349
135     5259.09	1.01359
136     5259.09	1.01369
137     5259.09	1.01379
138     5259.09	1.01389
139     5259.09	1.014
140     5259.09	1.0141
141     5259.09	1.0142
142     5259.09	1.0143
143     5259.09	1.0144
144      5256.4	1.0145
145      5256.4	1.0146
146      5256.4	1.01471
147      5256.4	1.01481
148      5256.4	1.01491
149     5254.29	1.01501
150     5254.29	1.01511
151     5254.29	1.01521
152     5254.29	1.01532
153     5254.29	1.01542
154     5254.29	1.01552
155     5254.29	1.01562
156     5254.29	1.01572
157     5254.29	1.01582
158     5254.29	1.01592
159     5254.29	1.01603
160     5254.29	1.01613
161        5237	1.01623
162        5237	1.01633
163        5237	1.01643
164        5237	1.01653
165        5237	1.01664
166        5237	1.01674
167        5237	1.01684
168        5237	1.01694
169     5234.63	1.01704
170     5234.63	1.01714
171     5222.91	1.01725
172     5222.91	1.01735
173     5222.91	1.01745
174     5222.91	1.01755
175     5222.91	1.01765
176     5222.91	1.01775
177     5222.91	1.01786
178     5222.91	1.01796
179     5222.91	1.01806
180     5216.44	1.01816
181     5216.44	1.01826
182     5216.44	1.01837
183     5207.64	1.01847
184     5207.64	1.01857
185     5207.64	1.01867
186     5200.48	1.01877
187     5200.48	1.01887
188     5200.48	1.01898
189     5200.48	1.01908
190     5198.04	1.01918
191     5198.04	1.01928
192     5198.04	1.01938
193     5198.04	1.01949
194     5198.04	1.01959
195     5198.04	1.01969
196     5188.52	1.01979
197     5166.54	1.01989
198     5156.62	1.02
199     5156.62	1.0201
200     5156.62	1.0202
201     5138.19	1.0203
202     5138.19	1.0204
203     5138.19	1.02051
204     5135.62	1.02061
205     5135.62	1.02071
206     5135.62	1.02081
207     5127.39	1.02091
208     5127.39	1.02102
209     5127.39	1.02112
210     5127.39	1.02122
211     5127.39	1.02132
212     5127.39	1.02143
213     5127.39	1.02153
214     5125.95	1.02163
215     5125.95	1.02173
216     5125.95	1.02183
217     5125.95	1.02194
218     5125.95	1.02204
219     5125.95	1.02214
220     5125.95	1.02224
221     5125.95	1.02234
222     5125.95	1.02245
223     5125.95	1.02255
224     5125.95	1.02265
225     5125.95	1.02275
226      5123.3	1.02286
227      5123.3	1.02296
228      5123.3	1.02306
229      5123.3	1.02316
230     5122.16	1.02327
231     5122.16	1.02337
232     5122.16	1.02347
233     5122.16	1.02357
234     5122.16	1.02367
235     5122.16	1.02378
236     5122.16	1.02388
237     5122.16	1.02398
238     5122.16	1.02408
239     5122.16	1.02419
240     5122.16	1.02429
241     5122.16	1.02439
242     5122.16	1.02449
243     5122.16	1.0246
244     5122.16	1.0247
245     5122.16	1.0248
246     5122.16	1.0249
247     5122.16	1.02501
248     5122.16	1.02511
249     5122.16	1.02521
250     5122.16	1.02531
251     5122.16	1.02542
252     5122.16	1.02552
253     5122.16	1.02562
254     5122.16	1.02572
255     5122.16	1.02583
256     5122.16	1.02593
257     5122.16	1.02603
258     5122.16	1.02613
259     5122.16	1.02624
260     5122.16	1.02634
261     5122.16	1.02644
262     5122.16	1.02654
263     5121.02	1.02665
264     5121.02	1.02675
265     5121.02	1.02685
266     5121.02	1.02696
267     5121.02	1.02706
268     5119.88	1.02716
269     5119.88	1.02726
270     5119.88	1.02737
271     5119.88	1.02747
272     5119.88	1.02757
273     5119.88	1.02767
274     5119.88	1.02778
275     5119.88	1.02788
276     5119.88	1.02798
277     5119.88	1.02809
278     5119.88	1.02819
279     5119.88	1.02829
280     5119.88	1.02839
281     5119.88	1.0285
282     5119.88	1.0286
283     5119.88	1.0287
284     5119.88	1.02881
285     5119.88	1.02891
286     5119.88	1.02901
287     5119.88	1.02911
288     5119.88	1.02922
289      5108.8	1.02932
290      5108.8	1.02942
291     5108.35	1.02953
292     5102.31	1.02963
293     5102.31	1.02973
294     5102.05	1.02983
295     5101.86	1.02994
296     5101.86	1.03004
297     5101.86	1.03014
298     5081.88	1.03025
299     5081.88	1.03035
300     5081.88	1.03045
301      5081.2	1.03056
302      5081.2	1.03066
303      5081.2	1.03076
304      5081.2	1.03087
305      5081.2	1.03097
306      5081.2	1.03107
307      5081.2	1.03117
308      5081.2	1.03128
309      5081.2	1.03138
310     5080.94	1.03148
311     5080.94	1.03159
312     5080.94	1.03169
313     5080.94	1.03179
314     5080.94	1.0319
315     5080.08	1.032
316     5078.86	1.0321
317     5078.86	1.03221
318     5078.86	1.03231
319     5078.86	1.03241
320     5078.86	1.03252
321      5076.2	1.03262
322      5076.2	1.03272
323      5076.2	1.03283
324      5076.2	1.03293
325      5076.2	1.03303
326     5074.11	1.03314
327     5074.11	1.03324
328     5074.11	1.03334
329     5074.11	1.03345
330     5074.11	1.03355
331     5074.11	1.03365
332     5074.11	1.03376
333     5073.83	1.03386
334     5073.83	1.03396
335     5073.83	1.03407
336     5073.83	1.03417
337     5073.83	1.03427
338     5073.83	1.03438
339     5073.83	1.03448
340     5073.83	1.03458
341     5073.83	1.03469
342     5073.83	1.03479
343     5073.83	1.03489
344     5073.83	1.035
345     5073.83	1.0351
346     5073.83	1.0352
347     5073.83	1.03531
348     5073.83	1.03541
349     5073.83	1.03551
350     5073.83	1.03562
351     5073.83	1.03572
352     5073.83	1.03583
353     5073.83	1.03593
354     5073.83	1.03603
355     5073.83	1.03614
356     5073.83	1.03624
357     5073.83	1.03634
358     5073.83	1.03645
359     5073.83	1.03655
360     5073.83	1.03665
361     5073.83	1.03676
362     5073.83	1.03686
363     5073.83	1.03697
364     5073.83	1.03707
365     5073.83	1.03717
366     5073.83	1.03728
367     5073.83	1.03738
368     5073.83	1.03748
369     5073.83	1.03759
370     5073.83	1.03769
371     5073.83	1.03779
372     5073.83	1.0379
373     5073.83	1.038
374     5073.83	1.03811
375     5073.83	1.03821
376     5073.83	1.03831
377     5073.83	1.03842
378     5073.83	1.03852
379     5073.83	1.03863
380     5073.83	1.03873
381     5073.83	1.03883
382     5073.83	1.03894
383     5073.83	1.03904
384     5073.83	1.03914
385     5073.83	1.03925
386     5073.83	1.03935
387     5073.83	1.03946
388     5065.69	1.03956
389     5065.69	1.03966
390     5065.69	1.03977
391     5053.71	1.03987
392     5053.71	1.03998
393     4997.89	1.04008
394     4997.89	1.04018
395     4997.89	1.04029
396     4997.89	1.04039
397     4997.89	1.0405
398     4997.89	1.0406
399     4997.89	1.0407
400     4997.89	1.04081
401     4997.89	1.04091
402     4997.89	1.04102
403     4997.89	1.04112
404     4997.89	1.04123
405     4997.89	1.04133
406     4997.89	1.04143
407     4997.89	1.04154
408     4997.89	1.04164
409     4997.89	1.04175
410     4997.89	1.04185
411     4997.89	1.04195
412     4997.89	1.04206
413     4997.89	1.04216
414     4997.89	1.04227
415     4997.89	1.04237
416     4997.89	1.04248
417     4997.89	1.04258
418     4997.89	1.04268
419     4997.89	1.04279
420     4997.89	1.04289
421     4997.89	1.043
422     4997.89	1.0431
423     4997.89	1.04321
424     4997.89	1.04331
425     4997.89	1.04341
426     4997.89	1.04352
427     4997.89	1.04362
428     4997.89	1.04373
429     4997.89	1.04383
430     4997.89	1.04394
431     4997.89	1.04404
432     4997.89	1.04414
433     4997.89	1.04425
434     4997.89	1.04435
435     4997.89	1.04446
436     4997.89	1.04456
437     4997.89	1.04467
438     4997.89	1.04477
439     4997.89	1.04488
440     4997.89	1.04498
441     4997.89	1.04508
442     4997.89	1.04519
443     4997.89	1.04529
444     4997.89	1.0454
445     4997.89	1.0455
446     4997.89	1.04561
447     4997.89	1.04571
448     4997.89	1.04582
449     4997.89	1.04592
450     4997.89	1.04603
451     4997.89	1.04613
452     4997.89	1.04623
453     4997.89	1.04634
454     4997.89	1.04644
455     4997.89	1.04655
456     4997.89	1.04665
457     4997.89	1.04676
458     4997.89	1.04686
459     4997.89	1.04697
460     4997.89	1.04707
461     4997.89	1.04718
462     4997.89	1.04728
463     4997.89	1.04739
464     4997.89	1.04749
465     4997.89	1.0476
466     4997.89	1.0477
467     4997.89	1.04781
468     4997.89	1.04791
469     4997.89	1.04801
470     4997.89	1.04812
471     4997.89	1.04822
472     4997.89	1.04833
473     4997.89	1.04843
474     4997.89	1.04854
475     4997.89	1.04864
476     4997.89	1.04875
477     4997.89	1.04885
478     4997.89	1.04896
479     4997.89	1.04906
480     4997.89	1.04917
481     4997.89	1.04927
482     4997.89	1.04938
483     4997.89	1.04948
484     4997.89	1.04959
485     4997.89	1.04969
486     4997.89	1.0498
487     4997.89	1.0499
488     4997.89	1.05001
489     4997.89	1.05011
490     4997.89	1.05022
491     4997.89	1.05032
492     4997.89	1.05043
493     4997.89	1.05053
494     4997.89	1.05064
495     4997.89	1.05074
496     4997.89	1.05085
497     4997.89	1.05095
498     4997.89	1.05106
499     4997.89	1.05116
500     4997.89	1.05127
501     4997.89	1.05137
502     4997.89	1.05148
503     4997.89	1.05158
504     4997.89	1.05169
505     4997.89	1.05179
506     4997.89	1.0519
507     4997.89	1.052
508     4997.89	1.05211
509     4997.89	1.05221
510     4997.89	1.05232
511     4997.89	1.05243
512     4997.89	1.05253
513     4997.89	1.05264
514     4997.89	1.05274
515     4997.89	1.05285
516     4997.89	1.05295
517     4997.89	1.05306
518     4997.89	1.05316
519     4997.89	1.05327
520     4997.89	1.05337
521     4997.89	1.05348
522     4997.89	1.05358
523     4997.89	1.05369
524     4997.89	1.05379
525     4997.89	1.0539
526     4997.89	1.05401
527     4997.89	1.05411
528     4997.89	1.05422
529     4997.89	1.05432
530     4997.89	1.05443
531     4997.89	1.05453
532     4997.89	1.05464
533     4997.89	1.05474
534     4997.89	1.05485
535     4997.89	1.05495
536     4997.89	1.05506
537     4997.89	1.05517
538     4997.89	1.05527
539     4997.89	1.05538
540     4997.89	1.05548
541     4997.89	1.05559
542     4997.89	1.05569
543     4997.89	1.0558
544     4997.89	1.0559
545     4997.89	1.05601
546     4997.89	1.05612
547     4997.89	1.05622
548     4997.89	1.05633
549     4997.89	1.05643
550     4997.89	1.05654
551     4997.89	1.05664
552     4997.89	1.05675
553     4997.89	1.05685
554     4997.89	1.05696
555     4997.89	1.05707
556     4997.89	1.05717
557     4997.89	1.05728
558     4997.89	1.05738
559     4997.89	1.05749
560     4997.89	1.05759
561     4997.89	1.0577
562     4997.89	1.05781
563     4997.89	1.05791
564     4997.89	1.05802
565     4997.89	1.05812
566     4997.89	1.05823
567     4997.89	1.05834
568     4997.89	1.05844
569     4997.89	1.05855
570     4997.89	1.05865
571     4997.89	1.05876
572     4997.89	1.05886
573     4997.89	1.05897
574     4997.89	1.05908
575     4997.89	1.05918
576     4997.89	1.05929
577     4997.89	1.05939
578     4997.89	1.0595
579     4997.89	1.05961
580     4997.89	1.05971
581     4997.89	1.05982
582     4997.89	1.05992
583     4997.89	1.06003
584     4997.89	1.06014
585     4997.89	1.06024
586     4997.89	1.06035
587     4997.89	1.06045
588     4997.89	1.06056
589     4997.89	1.06067
590     4997.89	1.06077
591     4997.89	1.06088
592     4997.89	1.06098
593     4984.39	1.06109
594     4984.39	1.0612
595     4984.39	1.0613
596     4984.39	1.06141
597     4984.39	1.06151
598     4984.39	1.06162
599     4984.39	1.06173
