1     22001.9	5.7767e-05
2     21072.2	5.77676e-05
3     18676.7	5.77681e-05
4     18572.5	5.77687e-05
5     17723.5	5.77693e-05
6     16891.1	5.77699e-05
7     13685.3	5.77705e-05
8     13343.5	5.7771e-05
9     13595.6	5.77716e-05
10     13249.2	5.77722e-05
11     12969.7	5.77728e-05
12     13709.3	5.77733e-05
13     12033.7	5.77739e-05
14     12033.7	5.77745e-05
15       10956	5.77751e-05
16     10743.8	5.77757e-05
17     10144.7	5.77762e-05
18     10462.3	5.77768e-05
19     10387.5	5.77774e-05
